id_ur,nombre_ur,capitulo,id_partida_especifica,partida_descripcion,clave_presupuestal,monto_pendiente,prioridad,suficiencia_presupuestal,numero_contrato,tipo_contrato,importe_min,importe_max,monto_pagado_contrato,proveedor,numero_factura,mes_calendario,monto_factura,esta_facturado,esta_pagado,justificacion,observacion,area_contratante,area_financiera,estatus_workflow
100,Dir. General,3000,33101,Servicios Legales,100-33101-2026,50000.00,Alta,si,C-2026-001,cerrado,150000.00,150000.00,100000.00,LexCorp S.A.,F-0112,2026-01,50000.00,TRUE,TRUE,Pago final servicio,Sin novedades,Asuntos Jurídicos,Contabilidad,Terminado
100,Dir. General,3000,33301,Desarrollo Sistemas,100-33301-2026,20000.00,Alta,si,C-2026-002,abierto,50000.00,200000.00,180000.00,TechSoluc.,F-0205,2026-01,20000.00,TRUE,FALSE,Avance proyecto,Retraso en pago,Sistemas,Tesorería,Pendiente Pago
100,Dir. General,2000,21101,Material Oficina,100-21101-2026,0.00,Media,si,C-2026-003,abierto,10000.00,50000.00,45000.00,Papelera RM,F-0310,2026-01,15000.00,TRUE,TRUE,Suministro mensual,Ok,Logística,Contabilidad,Terminado
200,Dir. Admin.,5000,51101,Equipos Cómputo,200-51101-2026,10000.00,Alta,si,C-2026-004,cerrado,80000.00,80000.00,70000.00,HardSoft,F-0401,2026-02,10000.00,TRUE,TRUE,Adquisición equipos,Entrega completa,Sistemas,Tesorería,Terminado
200,Dir. Admin.,3000,33601,Mantenimiento Vehic.,200-33601-2026,5000.00,Media,si,C-2026-005,abierto,5000.00,30000.00,15000.00,Taller Móvil,F-0550,2026-02,5000.00,TRUE,FALSE,Servicio preventivo,Espera validación,Transportes,Contabilidad,Pendiente Pago
300,Dir. Proyectos,3000,33901,Estudios e Invest.,300-33901-2026,15000.00,Alta,si,C-2026-006,cerrado,15000.00,15000.00,0.00,Data Consult,F-0601,2026-02,15000.00,TRUE,FALSE,Estudio impacto,Factura recibida,Planeación,Tesorería,Pendiente Pago
300,Dir. Proyectos,3000,33901,Estudios e Invest.,300-33901-2026,15000.00,Alta,si,C-2026-006,cerrado,15000.00,15000.00,15000.00,Data Consult,F-0602,2026-03,0.00,FALSE,TRUE,Ajuste contable,Error en el monto,Planeación,Tesorería,Anulado
100,Dir. General,2000,29101,Herramientas,100-29101-2026,800.00,Baja,si,,cerrado,800.00,800.00,0.00,Ferretería A,F-0700,2026-03,800.00,TRUE,FALSE,Compra urgente,Sin contrato aún,Mantenimiento,Contabilidad,Pendiente Autoriz.
400,Dir. Finanzas,3000,32501,Publicaciones,400-32501-2026,0.00,Media,si,C-2026-007,cerrado,12000.00,12000.00,12000.00,Prensa Ltd,F-0811,2026-03,12000.00,TRUE,TRUE,Difusión informe,Pago exitoso,Comunicación,Tesorería,Terminado
400,Dir. Finanzas,3000,32501,Publicaciones,400-32501-2026,1000.00,Media,no,C-2026-008,abierto,5000.00,10000.00,9000.00,PubliMás,F-0900,2026-04,1000.00,TRUE,TRUE,Publicidad extra,Presupuesto agotado,Comunicación,Contabilidad,Terminado
